﻿Наименование;Текущий статус;Просмотры;Клики;CTR;Ср. стоим. клика;Расходы на рекламу;Сумма заказов;Все заказы;В избранное;В корзину;Доля рекламных расходов
Диван Альфа ССК75. Скидка 15%;Активная;10803;191;1,77;60;11434;159990,00;1;13;4;7,1
Диван Аметист (ССК80);Активная;13307;146;1,10;68;9912;0,00;0;15;4;Нет заказов
Диван Астория;Активная;6775;106;1,56;61;6488;0,00;0;15;1;Нет заказов
Диван Астория ССК90;Активная;12902;170;1,32;60;10120;515160,00;1;20;2;2
Диван Берлин;Активная;10489;92;0,88;58;5361;0,00;0;11;2;Нет заказов
Диван Бруно (Нумо) ССК120;Активная;7078;66;0,93;80;5259;235000,00;1;7;1;2,2
Диван Вашингтон;Активная;15582;123;0,79;50;6110;0,00;0;14;1;Нет заказов
Диван Верона;Активная;91;1;1,10;3;3;0,00;0;0;0;Нет заказов
Диван Верона (ССК133);Активная;9825;58;0,59;95;5494;633800,00;2;0;1;0,9
Диван и Кресло Торонто (Види);Активная;948;27;2,85;67;1821;224990,00;1;4;1;0,8
Диван Леон;Активная;11776;133;1,13;51;6723;0,00;0;12;2;Нет заказов
Диван Лувр Угловой ССК110;Активная;2144;13;0,61;62;810;0,00;0;0;1;Нет заказов
Диван Мадрид;Активная;12972;83;0,64;60;5000;0,00;0;8;2;Нет заказов
Диван Мадрид Трансформер (ССК130) с 13 октября 25;Активная;12607;154;1,22;67;10310;0,00;0;7;3;Нет заказов
Диван Мальта Трансформер;Активная;1750;17;0,97;86;1459;0,00;0;0;0;Нет заказов
Диван Мелодия (ССК 75);Активная;40835;365;0,89;76;27830;0,00;0;24;9;Нет заказов
Диван Мельбурн;Активная;5440;80;1,47;65;5206;216990,00;1;7;3;2,4
Диван Милфорд;Активная;2916;25;0,86;71;1767;0,00;0;3;1;Нет заказов
Диван Миро 300 см;Активная;203;2;0,99;60;120;0,00;0;0;0;Нет заказов
Диван Миро прямой;Активная;337;0;0;0;0;0,00;0;0;0;Нет заказов
Диван Монза Прямой;Активная;2885;48;1,66;68;3256;0,00;0;3;0;Нет заказов
Диван Монза угловой ССК140;Активная;5898;78;1,32;79;6189;0,00;0;7;1;Нет заказов
Диван Новус Плюс;Активная;13782;110;0,80;63;6882;255900,00;1;8;6;2,7
Диван Прима 230 Прямой (ССК126) Клики дешевые но не берут. Нужно видео!;Активная;22147;208;0,94;87;18136;0,00;0;13;4;Нет заказов
Диван прямой и угловой Лоран (Фишер);Активная;1462;13;0,89;63;816;0,00;0;1;0;Нет заказов
Диван Романс;Активная;7574;78;1,03;59;4598;0,00;0;6;2;Нет заказов
Диван Симпл;Активная;11905;117;0,98;60;7005;229000,00;1;12;3;3,1
Диван Сканди Угловой ССК90;Активная;8251;53;0,64;71;3756;0,00;0;3;1;Нет заказов
Диван Энистон;Активная;13148;111;0,84;57;6316;0,00;0;8;3;Нет заказов
Диван Magic;Активная;3461;48;1,39;58;2793;0,00;0;5;1;Нет заказов
Картины Китай (ССК40) Тест;Активная;1759;28;1,59;29;808;0,00;0;1;0;Нет заказов
Кресло Аметист;Активная;0;0;0;0;0;0;0;0;0;Нет заказов
Кресло Винсент/Дарон/Луми (ССК 125) Скидка 30%;Активная;8386;245;2,92;97;23870;579780,00;3;28;15;4,1
Кресло Леон;Активная;0;0;0;0;0;0;0;0;0;Нет заказов
Кресло Magic;Активная;0;0;0;0;0;0;0;0;0;Нет заказов
Кресло-кровать Веста;Активная;3981;76;1,91;74;5599;0,00;0;9;0;Нет заказов
Кресло-кровать Мадрид;Активная;4764;86;1,81;77;6599;0,00;0;9;1;Нет заказов
Кресло-кровать Марко;Активная;0;0;0;0;0;0;0;0;0;Нет заказов
Кресло-кровать Орео (ССК100 у трех позиций) Тест;Активная;73192;1002;1,37;53;52921;884200,00;6;61;18;6
Кресло-кровать Эврика;Активная;0;0;0;0;0;0;0;0;0;Нет заказов
Кушетка молли;Активная;798;8;1,00;37;299;0,00;0;0;1;Нет заказов
Лесет Кресла Тест новые карточки Влада. Скидка 10%;Активная;2134;12;0,56;63;757;0,00;0;0;1;Нет заказов
Мини-диван Веста;Активная;7718;70;0,91;61;4293;0,00;0;8;3;Нет заказов
Мини-диван Марко;Активная;0;0;0;0;0;0;0;0;0;Нет заказов
Мини-диван Рико (ССК80) Без скидки;Активная;17926;160;0,89;59;9391;229000,00;1;21;5;4,1
Мини-диван Рокси (ССК125-80);Активная;3305;80;2,42;62;4951;0,00;0;12;1;Нет заказов
Мини-диван Эврика;Активная;0;0;0;0;0;0;0;0;0;Нет заказов
Обувница Рахим (ССК22) Тест;Активная;3151;306;9,71;21;6310;53000,00;3;32;9;11,9
Полки и Обувницы KIRA;Активная;1240;22;1,77;14;308;9990,00;1;4;2;3,1
Прима Угловой ССК110;Активная;23279;250;1,07;84;21075;0,00;0;17;8;Нет заказов
Пуф Плуто со скидкой ха 15 990;Активная;8121;67;0,83;40;2699;0,00;0;7;6;Нет заказов
Пуфы Животные ССК100;Активная;4948;32;0,65;56;1793;0,00;0;5;0;Нет заказов
Пуфы Люция, Мич;Активная;0;0;0;0;0;0;0;0;0;Нет заказов
Стеллаж Лесет и Раскладушка;Активная;5271;92;1,75;25;2325;52998,00;2;19;1;4,4
Стеллажи KIRA (ССК60) ТЕст;Активная;123524;1768;1,43;39;69529;423078,00;16;462;132;16,4
Стрейч;Активная;944;23;2,44;13;291;2850,00;1;3;4;10,2
Угловой Диван Порту;Активная;760;8;1,05;70;562;0,00;0;1;1;Нет заказов
Шкафы KIRA;Активная;1589;69;4,34;28;1908;0,00;0;10;2;Нет заказов
